Gene,Non-unique Gene name,Annotation,No. isolates,No. sequences,Avg sequences per isolate,Genome Fragment,Order within Fragment,Accessory Fragment,Accessory Order with Fragment,QC,Min group size nuc,Max group size nuc,Avg group size nuc
DYI91_16950,,DNA-binding protein,6,6,1.0,,,,,,1163,1163,1163
F9D38_02100,,hypothetical protein,6,6,1.0,,,,,,455,455,455
GV174_20130,,hypothetical protein,6,6,1.0,,,,,,380,380,380
ES940_20525,,helix-turn-helix transcriptional regulator,6,6,1.0,,,,,,323,323,323
GUE45_004818,,HTH domain-containing protein,6,6,1.0,,,,,,458,458,458
E3U79_24125,,hypothetical protein,6,6,1.0,,,,,,239,239,239
GVB94_004997,,hypothetical protein,6,6,1.0,,,,,,230,230,230
GWD95_24865,,hypothetical protein,6,6,1.0,,,,,,299,299,299
GWJ32_24225,,hypothetical protein,6,6,1.0,,,,,,191,191,191
GWJ32_24585,,aminoglycoside N-acetyltransferase AAC(3)-IId,6,6,1.0,,,,,,860,860,860
GXH29_23700,,recombination protein NinG,6,6,1.0,,,,,,377,611,544
GXL76_24710,,PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-2,6,6,1.0,,,,,,866,866,866
D6I09_24405,,hypothetical protein,6,6,1.0,,,,,,206,206,206
GSD57_002596,,phage tail protein,5,5,1.0,,,,,,2051,2051,2051
GXL60_15450,,hypothetical protein,5,5,1.0,,,,,,404,404,404
GXG60_17035,,hypothetical protein,5,5,1.0,,,,,,329,329,329
GXS22_004914,,exodeoxyribonuclease,5,7,1.4,,,,,,291,1068,758
BTS16_08295,,hypothetical protein,5,5,1.0,,,,,,179,179,179
DP594_16725,,hypothetical protein,5,5,1.0,,,,,,836,2273,1985
E2T44_20710,,antitermination protein,5,5,1.0,,,,,,362,362,362
CBH71_25635,,hypothetical protein,5,5,1.0,,,,,,203,203,203
CBH71_25645,,hypothetical protein,5,5,1.0,,,,,,479,479,479
EIR60_05905,,DUF2737 family protein,5,5,1.0,,,,,,170,170,170
GWD95_20140,,recombinase,5,5,1.0,,,,,,959,959,959
GOQ62_000875,,phage portal protein,5,5,1.0,,,,,,1046,1046,1046
C2F63_09420,,oxidoreductase,5,5,1.0,,,,,,1751,1751,1751
M8W61_004066,,holin,5,5,1.0,,,,,,323,323,323
EIM93_11480,,M15 family metallopeptidase,5,5,1.0,,,,,,392,392,392
EIM93_11490,,phage tail protein,5,5,1.0,,,,,,467,467,467
C2F63_09475,,phage virion morphogenesis protein,5,5,1.0,,,,,,635,635,635
GOQ62_000903,,phage late control D family protein,5,5,1.0,,,,,,1100,1109,1107
C2F63_09550,,phage tail sheath family protein,5,5,1.0,,,,,,1184,1184,1184
EIM93_19535,,phage major tail tube protein,5,5,1.0,,,,,,512,512,512
M8W61_004836,,phage tail protein,5,5,1.0,,,,,,488,488,488
GP118_000987,,hypothetical protein,5,5,1.0,,,,,,332,332,332
EE397_24010,,antiterminator,5,5,1.0,,,,,,677,689,684
IC289_003633,,hypothetical protein,5,5,1.0,,,,,,437,437,437
L0N46_003916,,transporter substrate-binding domain-containing protein,5,5,1.0,,,,,,770,770,770
FGO80_18555,,hypothetical protein,5,5,1.0,,,,,,188,188,188
FP996_23350,,pilus assembly protein,5,5,1.0,,,,,,494,494,494
FP996_23160,,hypothetical protein,5,5,1.0,,,,,,269,269,269
FP996_20850,,hypothetical protein,5,5,1.0,,,,,,248,248,248
D6N87_23720,,entry exclusion protein,5,5,1.0,,,,,,287,287,287
D3387_23150,,type IV secretion system protein,5,5,1.0,,,,,,1130,1130,1130
aac(3)-VIa,,aminoglycoside N-acetyltransferase AAC(3)-VIa,5,5,1.0,,,,,,899,899,899
group_10692,groL,chaperonin GroEL,5,5,1.0,,,,,,1637,1637,1637
group_1074,folP,dihydropteroate synthase,5,5,1.0,,,,,,971,971,971
GP118_003314,,hypothetical protein,5,5,1.0,,,,,,1063,1063,1063
GP118_003311,,hypothetical protein,5,5,1.0,,,,,,332,332,332
B8136_22800,,hypothetical protein,5,5,1.0,,,,,,203,203,203
group_10765,traX,type-F conjugative transfer system pilin acetylase TraX,5,5,1.0,,,,,,731,731,731
G9I61_003947,,DUF2726 domain-containing protein,5,5,1.0,,,,,,566,566,566
group_10767,traI,conjugative transfer relaxase/helicase TraI,5,5,1.0,,,,,,5297,5297,5297
group_10779,traM,relaxosome protein TraM,5,5,1.0,,,,,,383,383,383
H0G94_003549,,hypothetical protein,5,5,1.0,,,,,,347,347,347
GP118_004611,,theronine dehydrogenase,5,5,1.0,,,,,,353,353,353
CQW81_21485,,plasmid SOS inhibition protein A,5,5,1.0,,,,,,728,728,728
group_10785,psiB,conjugation system SOS inhibitor PsiB,5,5,1.0,,,,,,434,434,434
GP118_004614,,ParB/RepB/Spo0J family partition protein,5,5,1.0,,,,,,2033,2033,2033
C9A57_21640,,single-stranded DNA-binding protein,5,5,1.0,,,,,,89,89,89
C9A57_21645,,hypothetical protein,5,5,1.0,,,,,,317,317,317
G9I61_003982,,DNA methylase,5,5,1.0,,,,,,677,677,677
C9A57_24390,,hypothetical protein,5,5,1.0,,,,,,623,623,623
GIZ56_23880,,molecular chaperone,5,5,1.0,,,,,,725,725,725
GIZ56_23425,,fimbrial protein,5,5,1.0,,,,,,905,905,905
C9A57_24365,,hypothetical protein,5,5,1.0,,,,,,589,602,599
GP118_004711,,CaiF/GrlA family transcriptional regulator,5,5,1.0,,,,,,512,512,512
G9I61_004735,,hypothetical protein,5,5,1.0,,,,,,731,731,731
GP118_004713,,DUF3440 domain-containing protein,5,5,1.0,,,,,,1235,1235,1235
C9A57_24335,,hypothetical protein,5,5,1.0,,,,,,632,632,632
B8136_23515,,nucleoside transporter,5,5,1.0,,,,,,318,326,324
B8136_23520,,hypothetical protein,5,5,1.0,,,,,,551,551,551
G9I61_004720,,enoyl-CoA hydratase,5,5,1.0,,,,,,875,875,875
GIZ56_22620,,type 1 fimbrial protein,5,5,1.0,,,,,,608,608,608
GIZ56_22805,,hypothetical protein,5,5,1.0,,,,,,464,464,464
B8136_23610,,PIG-L family deacetylase,5,5,1.0,,,,,,650,650,650
GIZ56_22820,,glycosyltransferase family 2 protein,5,5,1.0,,,,,,1157,1157,1157
GP118_004780,,acetyltransferase,5,5,1.0,,,,,,632,632,632
yaiO,,YaiO family outer membrane beta-barrel protein,5,5,1.0,,,,,,776,776,776
B8136_23635,,tyrosine-type recombinase/integrase,5,5,1.0,,,,,,989,989,989
GP118_004915,,ParB/RepB/Spo0J family partition protein,5,5,1.0,,,,,,971,971,971
G9I61_004751,,hypothetical protein,5,5,1.0,,,,,,599,599,599
B8136_23915,,lysis protein,5,5,1.0,,,,,,455,455,455
G9I61_004657,,hypothetical protein,5,5,1.0,,,,,,722,722,722
GIZ56_24095,,hypothetical protein,5,5,1.0,,,,,,362,362,362
C9A57_22695,,type 1 fimbrial protein,5,5,1.0,,,,,,602,602,602
GIZ56_23270,,antitoxin,5,5,1.0,,,,,,236,236,236
G9I61_004694,,hypothetical protein,5,5,1.0,,,,,,395,395,395
GP118_004861,,quinol oxidase,5,5,1.0,,,,,,1085,1085,1085
GIZ56_21670,,SDR family oxidoreductase,5,5,1.0,,,,,,728,728,728
G9I61_004757,,acetyl-CoA C-acetyltransferase,5,5,1.0,,,,,,1211,1211,1211
C9A57_22645,,3-oxoacid CoA-transferase,5,5,1.0,,,,,,1556,1556,1556
B8136_24130,,type 1 fimbrial protein,5,5,1.0,,,,,,596,596,596
C9A57_23275,,type II toxin-antitoxin system VapC family toxin,5,5,1.0,,,,,,428,428,428
GP118_004562,,IS30 family transposase,5,5,1.0,,,,,,1160,1160,1160
GP118_004565,,hypothetical protein,5,5,1.0,,,,,,230,230,230
C9A57_23300,,DUF2913 family protein,5,5,1.0,,,,,,611,611,611
group_10839,repA,incFII family plasmid replication initiator RepA,5,5,1.0,,,,,,857,857,857
C9A57_23320,,replication regulatory protein RepA,5,5,1.0,,,,,,278,278,278
GIZ56_17890,,phospholipase D family protein,5,5,1.0,,,,,,545,545,545
G9I61_004594,,DsbA family protein,5,5,1.0,,,,,,791,791,791
B8136_24390,,Par-like protein,5,5,1.0,,,,,,179,179,179
GIZ56_17920,,hypothetical protein,5,5,1.0,,,,,,209,209,209
G9I61_004802,,IS66 family insertion sequence hypothetical protein,5,5,1.0,,,,,,647,647,647
NJA99_004937,,hypothetical protein,5,5,1.0,,,,,,641,1026,718
MQ841_004556,,conjugal transfer protein,5,5,1.0,,,,,,302,302,302
JWS55_004715,,hypothetical protein,5,5,1.0,,,,,,212,212,212
JWS55_004716,,mobilization protein A,5,5,1.0,,,,,,2129,2129,2129
GPA51_004899,,mobilization protein C,5,5,1.0,,,,,,284,284,284
GPA44_004988,,replication initiation protein,5,5,1.0,,,,,,69,113,98
GVB88_004840,,replication initiation protein,5,5,1.0,,,,,,701,701,701
G4E77_004462,,conjugal transfer protein TraL,5,5,1.0,,,,,,752,752,752
C2N25_22135,,phage tail tape measure protein,5,5,1.0,,,,,,3308,3308,3308
C2N25_23915,,tail fiber assembly protein,5,5,1.0,,,,,,518,518,518
K6S50_004990,,hypothetical protein,5,5,1.0,,,,,,290,290,290
GSC23_003244,,AAA family ATPase,5,5,1.0,,,,,,845,845,845
K6S50_004992,,replication protein,5,5,1.0,,,,,,842,842,842
NJA99_004629,,GIY-YIG nuclease family protein,5,5,1.0,,,,,,644,644,644
GSC23_003247,,hypothetical protein,5,5,1.0,,,,,,296,296,296
C2485_08490,,helix-turn-helix transcriptional regulator,5,5,1.0,,,,,,215,215,215
GSC23_003249,,LexA family transcriptional regulator,5,5,1.0,,,,,,653,653,653
LD343_003725,,SOS response-associated peptidase,5,5,1.0,,,,,,671,671,671
C2W66_24320,,phage N-6-adenine-methyltransferase,5,5,1.0,,,,,,893,893,893
GXL62_20710,,Rpn family recombination-promoting nuclease/putative transposase,5,5,1.0,,,,,,929,941,931
C3M18_22515,,phage gp6-like head-tail connector protein,5,5,1.0,,,,,,317,317,317
CQW81_21050,,hypothetical protein,5,5,1.0,,,,,,212,212,212
KYH33_004193,,hypothetical protein,5,5,1.0,,,,,,380,380,380
GSZ25_001609,,fimbrial biogenesis outer membrane usher protein,5,5,1.0,,,,,,2486,2486,2486
FJP44_14470,,fimbrial assembly chaperone,5,5,1.0,,,,,,680,680,680
FJP44_22165,,histidine biosynthesis protein,5,5,1.0,,,,,,839,839,839
HZW18_003391,,DeoR/GlpR transcriptional regulator,5,5,1.0,,,,,,758,758,758
group_11541,traJ,conjugal transfer transcriptional regulator TraJ,5,5,1.0,,,,,,689,689,689
J9366_004666,,MFS transporter,5,5,1.0,,,,,,239,239,239
CKP39_24530,,SDR family oxidoreductase,5,5,1.0,,,,,,863,863,863
CEW36_25110,,GrpB family protein,5,5,1.0,,,,,,245,245,245
sul3,,sulfonamide-resistant dihydropteroate synthase Sul3,5,5,1.0,,,,,,791,791,791
qac,,quaternary ammonium compound efflux SMR transporter QacL,5,5,1.0,,,,,,332,332,332
CIX39_09765,,autotransporter outer membrane beta-barrel domain-containing protein,5,5,1.0,,,,,,2822,2822,2822
MLC23_004700,,hypothetical protein,5,5,1.0,,,,,,395,395,395
group_1181,intI1,class 1 integron integrase IntI1,5,5,1.0,,,,,,93,866,407
IBM82_003770,,hypothetical protein,5,5,1.0,,,,,,665,665,665
DSP01_21770,,type II toxin-antitoxin system RelE/ParE family toxin,5,5,1.0,,,,,,299,299,299
FMQ46_22005,,plasmid stabilization protein,5,5,1.0,,,,,,263,263,263
CA020_21265,,hypothetical protein,5,5,1.0,,,,,,260,260,260
group_11850,trbA,conjugal transfer protein TrbA,5,5,1.0,,,,,,344,344,344
IBM82_003719,,hypothetical protein,5,5,1.0,,,,,,296,296,296
BSM63_20935,,hypothetical protein,5,5,1.0,,,,,,179,179,179
BSM63_20915,,SagB/ThcOx family dehydrogenase,5,5,1.0,,,,,,818,818,818
BKJ01_21060,,McbB family protein,5,5,1.0,,,,,,887,887,887
DY478_21870,,hypothetical protein,5,5,1.0,,,,,,185,185,185
GOO01_002340,,hypothetical protein,5,5,1.0,,,,,,251,251,251
GXH02_14285,,hypothetical protein,5,5,1.0,,,,,,182,182,182
GS029_000473,,hypothetical protein,5,5,1.0,,,,,,245,245,245
DP594_16760,,hypothetical protein,5,5,1.0,,,,,,224,224,224
GXH02_14325,,helix-turn-helix domain-containing protein,5,5,1.0,,,,,,980,980,980
GXH02_14330,,replicative DNA helicase,5,5,1.0,,,,,,1388,1388,1388
EOG75_14560,,hypothetical protein,5,5,1.0,,,,,,680,680,680
GS029_000483,,hypothetical protein,5,5,1.0,,,,,,248,248,248
EOG75_14570,,adenine methylase,5,5,1.0,,,,,,602,602,602
DP594_16800,,hypothetical protein,5,5,1.0,,,,,,191,191,191
GXH02_14360,,DUF1367 family protein,5,5,1.0,,,,,,596,596,596
DP594_16810,,DUF1364 domain-containing protein,5,5,1.0,,,,,,293,293,293
GXE38_14230,,DUF1133 family protein,5,5,1.0,,,,,,578,578,578
FMQ46_21755,,conjugal transfer protein TrbJ,5,5,1.0,,,,,,647,647,647
FUU91_19505,,antirestriction protein,5,5,1.0,,,,,,116,425,363
GXS22_004714,,type IV secretion system protein,5,5,1.0,,,,,,1061,1061,1061
GAT16_04785,,MBL fold metallo-hydrolase,5,5,1.0,,,,,,641,641,641
DWE66_26480,,replication initiation protein,5,5,1.0,,,,,,149,149,149
CGO47_24460,,IS91 family transposase,5,5,1.0,,,,,,116,1334,1067
GWJ30_23115,,hypothetical protein,5,5,1.0,,,,,,455,461,456
C2K32_22500,,hypothetical protein,5,5,1.0,,,,,,341,341,341
GOO01_002347,,helix-turn-helix transcriptional regulator,5,5,1.0,,,,,,308,308,308
M5389_001447,,DUF2724 domain-containing protein,5,5,1.0,,,,,,200,200,200
M5389_001460,,hypothetical protein,5,5,1.0,,,,,,191,191,191
FYE45_18660,,glutathione S-transferase family protein,5,5,1.0,,,,,,641,641,641
FR098_22765,,hypothetical protein,5,5,1.0,,,,,,401,401,401
FYE45_18680,,hypothetical protein,5,5,1.0,,,,,,212,212,212
FZG81_22705,,phosphoribosyltransferase,5,5,1.0,,,,,,482,482,482
FMQ12_22590,,hypothetical protein,5,5,1.0,,,,,,281,281,281
FMQ46_19125,,antirestriction protein,5,5,1.0,,,,,,425,425,425
IQ307_004150,,hypothetical protein,5,5,1.0,,,,,,773,773,773
FP996_19250,,MchC protein,5,5,1.0,,,,,,1550,1550,1550
FP996_19245,,toxin-activating lysine-acyltransferase,5,5,1.0,,,,,,476,476,476
FP996_19240,,HlyD family secretion protein,5,5,1.0,,,,,,1241,1241,1241
CEZ33_19590,,peptidase domain-containing ABC transporter,5,5,1.0,,,,,,2114,2114,2114
FQP45_10505,,positive regulator for repZ translation,5,5,1.0,,,,,,89,89,89
BSM63_20925,,microcin B17,5,5,1.0,,,,,,209,209,209
CEZ33_19480,,antirestriction protein ArdA,5,5,1.0,,,,,,500,500,500
FXR38_10115,,hypothetical protein,5,5,1.0,,,,,,275,275,275
IV530_000622,,hypothetical protein,5,5,1.0,,,,,,689,689,689
G9510_000606,,DUF2724 domain-containing protein,5,5,1.0,,,,,,200,200,200
G9510_000609,,phage repressor protein CI,5,5,1.0,,,,,,845,845,845
CG755_03115,,DUF2511 domain-containing protein,5,5,1.0,,,,,,338,338,338
FZG81_09030,,hypothetical protein,5,5,1.0,,,,,,1742,1742,1742
JNP17_000118,,tail fiber assembly protein,5,5,1.0,,,,,,569,569,569
FGO80_22950,,hypothetical protein,5,5,1.0,,,,,,390,452,420
GSZ25_004186,,hypothetical protein,5,5,1.0,,,,,,470,470,470
B7S82_05745,,LysR family transcriptional regulator,5,5,1.0,,,,,,908,908,908
LD360_000125,,nitronate monooxygenase,5,5,1.0,,,,,,980,980,980
HZW18_003482,,sel1 repeat family protein,5,5,1.0,,,,,,608,608,608
GSZ25_004338,,MFS transporter,5,5,1.0,,,,,,1418,1418,1418
J9377_003643,,MFS transporter,5,5,1.0,,,,,,1382,1382,1382
B7S82_20805,,sulfite exporter TauE/SafE family protein,5,5,1.0,,,,,,875,875,875
GSZ25_004334,,aldose-1-epimerase,5,5,1.0,,,,,,887,887,887
GPQ35_000650,,helix-turn-helix domain-containing protein,5,5,1.0,,,,,,602,602,602
LD360_001304,,IS3 family transposase,5,5,1.0,,,,,,261,261,261
IC289_002972,,DUF1317 family protein,5,5,1.0,,,,,,179,179,179
IC289_002974,,AlpA family phage regulatory protein,5,5,1.0,,,,,,248,248,248
CHU63_20900,,recombinase RecT,5,5,1.0,,,,,,941,941,941
CIX63_23780,,exodeoxyribonuclease VIII,5,5,1.0,,,,,,821,821,821
IC289_002983,,hypothetical protein,5,5,1.0,,,,,,416,416,416
CIX63_23845,,hypothetical protein,5,5,1.0,,,,,,338,338,338
IIF56_003722,,terminase small subunit,5,5,1.0,,,,,,596,596,596
GSC02_004045,,terminase,5,5,1.0,,,,,,1475,1475,1475
CHU63_21000,,peptidase,5,5,1.0,,,,,,707,707,707
IIF56_003728,,hypothetical protein,5,5,1.0,,,,,,986,986,986
GSC02_004051,,hypothetical protein,5,5,1.0,,,,,,440,440,440
CHU63_21015,,hypothetical protein,5,5,1.0,,,,,,380,380,380
IC289_002998,,hypothetical protein,5,5,1.0,,,,,,323,323,323
CAJ49_12735,,phage virion morphogenesis protein,5,5,1.0,,,,,,446,446,446
DC240_004230,,LysB family phage lysis regulatory protein,5,5,1.0,,,,,,428,428,428
DC240_004239,,phage portal protein,5,5,1.0,,,,,,1052,1052,1052
DC240_004240,,hypothetical protein,5,5,1.0,,,,,,719,719,719
GWJ30_14540,,phage repressor protein,5,5,1.0,,,,,,632,632,632
EGA75_25025,,recombinase family protein,5,5,1.0,,,,,,572,572,572
GWJ30_24070,,plasmid pRiA4b ORF-3 family protein,5,5,1.0,,,,,,590,590,590
GWJ30_24085,,quinolone resistance pentapeptide repeat protein QnrS1,5,5,1.0,,,,,,656,656,656
CAD01_24440,,hypothetical protein,5,5,1.0,,,,,,554,554,554
C8463_22010,,tail fiber assembly protein,5,5,1.0,,,,,,569,599,575
GRX98_004968,,IS6-like element IS26 family transposase,5,5,1.0,,,,,,373,704,637
GPA43_004875,,phage tail protein,5,5,1.0,,,,,,310,783,518
MQ841_001268,,hypothetical protein,5,5,1.0,,,,,,188,188,188
IG740_004684,,oxaloacetate decarboxylase,5,5,1.0,,,,,,236,1775,853
group_14001,wecA,UDP-N-acetylglucosamine--undecaprenyl-phosphate N-acetylglucosaminephosphotransferase,5,5,1.0,,,,,,1103,1103,1103
GVB87_004865,,hypothetical protein,5,5,1.0,,,,,,158,158,158
D7B10_24305,,relaxase/mobilization nuclease domain-containing protein,5,5,1.0,,,,,,2612,2633,2624
GUD47_004853,,inhibitor of g-type lysozyme,5,5,1.0,,,,,,401,401,401
GPA51_000971,,ead/Ea22-like family protein,5,5,1.0,,,,,,323,524,482
GWE84_05745,,hypothetical protein,5,5,1.0,,,,,,149,149,149
K0Z92_004141,,hypothetical protein,5,5,1.0,,,,,,170,170,170
NDU77_004018,,hypothetical protein,5,5,1.0,,,,,,140,140,140
LD360_001173,,DUF91 domain-containing protein,5,5,1.0,,,,,,920,926,921
group_1625,sseJ,SPI-2 type III secretion system effector SseJ,5,5,1.0,,,,,,179,1226,916
C3M18_24105,,transposase,5,5,1.0,,,,,,1181,1214,1207
group_1650,cpsG,phosphomannomutase CpsG,5,5,1.0,,,,,,347,1370,1165
J7V03_004736,,IS481 family transposase,5,5,1.0,,,,,,422,1664,1251
C2K48_20340,,thiol:disulfide interchange protein,5,5,1.0,,,,,,176,653,510
group_17210,yncL,stress response membrane protein YncL,5,5,1.0,,,,,,95,95,95
group_1747,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,5,5,1.0,,,,,,791,791,791
group_17616,kbl,glycine C-acetyltransferase,5,5,1.0,,,,,,1196,1196,1196
NCI12_004887,,transcriptional regulator,5,5,1.0,,,,,,857,857,857
group_1767,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2,5,5,1.0,,,,,,791,791,791
group_17721,crl,sigma factor-binding protein Crl,5,5,1.0,,,,,,401,401,401
group_17784,nhoA,N-hydroxyarylamine O-acetyltransferase,5,5,1.0,,,,,,845,845,845
GAT16_23980,,biotin/lipoyl-binding protein,5,5,1.0,,,,,,224,1775,563
H6V55_004772,,HARLDQ motif MBL-fold protein,5,5,1.0,7.0,83.0,7.0,72.0,,688,884,797
group_18053,torC,pentaheme c-type cytochrome TorC,5,5,1.0,,,,,,1184,1184,1184
NLG51_004705,,sodium ion-translocating decarboxylase subunit beta,5,5,1.0,,,,,,673,703,689
CFC30_003360,,hypothetical protein,5,5,1.0,,,,,,148,500,379
DLA33_25915,,peptidase S24,5,5,1.0,49.0,2.0,49.0,2.0,,254,650,354
group_18588,gpt,xanthine phosphoribosyltransferase,5,5,1.0,,,,,,458,458,458
INC55_004830,,DUF3313 domain-containing protein,5,5,1.0,,,,,,668,668,668
group_18786,lapB,lipopolysaccharide assembly protein LapB,5,5,1.0,,,,,,1169,1169,1169
GZB72_004921,,oxaloacetate decarboxylase subunit beta,5,5,1.0,,,,,,254,254,254
NCI12_004888,,hypothetical protein,5,5,1.0,,,,,,113,113,113
K7M71_004893,,hypothetical protein,5,5,1.0,,,,,,113,113,113
GZB87_003904,,arsenic transporter,5,5,1.0,,,,,,125,125,125
CPW09_24350,,oxaloacetate decarboxylase,5,5,1.0,,,,,,272,1775,1098
LL873_004726,,YdcY family protein,5,5,1.0,,,,,,233,233,233
group_1908,tet(A),tetracycline efflux MFS transporter Tet(A),5,5,1.0,,,,,,1199,1199,1199
FXP45_19990,,bifunctional ADP-dependent NAD(P)H-hydrate dehydratase/NAD(P)H-hydrate epimerase,5,5,1.0,,,,,,1547,1547,1547
K0926_004848,,DMT family transporter,5,5,1.0,,,,,,449,449,449
GP118_000966,,DUF2514 domain-containing protein,5,5,1.0,,,,,,548,551,550
MN222_004745,,HARLDQ motif MBL-fold protein,5,5,1.0,,,,,,881,881,881
K0925_004838,,permease,5,5,1.0,,,,,,1313,1313,1313
MKQ44_004647,,class II glutamine amidotransferase,5,5,1.0,,,,,,767,767,767
GUE45_004788,,coat protein,5,5,1.0,,,,,,1186,1292,1207
K6N20_004634,,recombination protein NinG,5,5,1.0,,,,,,611,611,611
group_1983,rpoS,RNA polymerase sigma factor RpoS,5,5,1.0,,,,,,471,992,784
C8946_24795,,oxaloacetate decarboxylase,5,5,1.0,,,,,,454,1238,862
GVC64_004862,,sodium ion-translocating decarboxylase subunit beta,5,5,1.0,,,,,,471,685,589
GOO01_004289,,site-specific integrase,5,5,1.0,,,,,,1163,1163,1163
group_20124,tsaE,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex ATPase subunit type 1 TsaE,5,5,1.0,,,,,,461,461,461
CAR27_19755,,transporter,5,5,1.0,,,,,,1298,1298,1298
group_20376,rfaJ,lipopolysaccharide glucosyltransferase RfaJ,5,5,1.0,,,,,,1004,1010,1008
CJH56_24085,,lysozyme,5,5,1.0,,,,,,188,437,245
CAR27_25000,,relaxase,5,5,1.0,,,,,,180,242,229
D2W87_26220,,relaxase,5,5,1.0,,,,,,105,242,214
D6N02_24580,,hypothetical protein,5,5,1.0,,,,,,269,2966,1853
D0O71_23400,,hypothetical protein,5,5,1.0,,,,,,239,266,249
group_2256,pduM,propanediol utilization microcompartment protein PduM,5,5,1.0,,,,,,149,491,422
CFE76_24760,,hypothetical protein,5,5,1.0,,,,,,131,158,136
CJ651_12935,,helix-turn-helix domain-containing protein,5,5,1.0,,,,,,818,959,902
GSD82_004911,,host specificity protein J,5,8,1.6,,,,,,1384,1568,1522
group_2421,bcsC,cellulose biosynthesis protein BcsC,5,5,1.0,,,,,,1400,3542,2906
CIX34_20605,,single-stranded DNA-binding protein,5,5,1.0,,,,,,119,206,136
K6N20_004635,,YlcG family protein,5,5,1.0,,,,,,140,140,140
FXR38_09800,,head assembly protein,5,5,1.0,,,,,,521,545,535
J9366_004711,,glycosyltransferase,5,5,1.0,,,,,,257,781,375
GQZ93_004816,,glycosyltransferase,5,5,1.0,,,,,,280,349,293
GWD95_24970,,recombinase family protein,5,5,1.0,,,,,,338,557,469
D3387_24470,,Rop family plasmid primer RNA-binding protein,5,5,1.0,,,,,,191,191,191
E6P17_17900,,two-component system sensor histidine kinase PgtB,5,5,1.0,,,,,,560,2006,1247
CT419_17375,,type IV secretion protein Rhs,5,5,1.0,,,,,,2774,4742,4035
GB704_22660,,TonB-dependent receptor,5,5,1.0,,,,,,749,2013,1511
group_2940,benE,benzoate/H(+) symporter BenE family transporter,5,5,1.0,,,,,,332,884,696
G3664_004903,,glycosyltransferase family 2 protein,5,5,1.0,,,,,,140,995,399
INU70_004764,,GhoT/OrtT family toxin,5,5,1.0,,,,,,173,173,173
C8946_24790,,glycosyltransferase family 2 protein,5,5,1.0,,,,,,137,1304,593
NJA99_000778,,YceI family protein,5,5,1.0,,,,,,277,575,514
GZB78_004890,,hypothetical protein,5,5,1.0,,,,,,206,206,206
CIX84_14585,,phage major capsid protein,5,5,1.0,,,,,,1205,1205,1205
GWJ32_20550,,HNH endonuclease,5,5,1.0,,,,,,524,815,698
EE397_24680,,aminoglycoside O-phosphotransferase APH(3'')-Ib,5,5,1.0,,,,,,803,803,803
C2J04_23480,,aminoglycoside O-phosphotransferase APH(6)-Id,5,5,1.0,,,,,,836,836,836
group_3355,aph(6)-I,aminoglycoside O-phosphotransferase APH(6)-Id,5,5,1.0,,,,,,728,836,802
CIX89_24580,,phage tail tape measure protein,5,5,1.0,,,,,,616,796,700
H6S79_003573,,EAL domain-containing protein,5,5,1.0,,,,,,668,707,699
GXL70_23745,,phage tail tape measure protein,5,5,1.0,,,,,,604,796,649
GWJ32_24215,,DUF3883 domain-containing protein,5,5,1.0,,,,,,883,1136,1077
group_3459,mobC,MobC family plasmid mobilization relaxosome protein,5,5,1.0,,,,,,344,344,344
C3Z99_23315,,biotin/lipoyl-binding protein,5,5,1.0,,,,,,126,369,210
C2F63_09355,,hypothetical protein,5,5,1.0,,,,,,113,113,113
GOQ62_000884,,DUF2570 domain-containing protein,5,5,1.0,,,,,,407,407,407
EIM93_11500,,phage baseplate assembly protein V,5,5,1.0,,,,,,566,581,578
FP996_20845,,DUF2326 domain-containing protein,5,5,1.0,,,,,,896,1745,1429
C2N52_18465,,transposase,5,5,1.0,,,,,,305,461,429
CQK95_20085,,IS91 family transposase,5,5,1.0,,,,,,296,1529,1200
GSD29_004657,,hypothetical protein,5,5,1.0,,,,,,158,236,202
DC240_004110,,hypothetical protein,5,5,1.0,,,,,,401,770,696
group_3540,traX,type-F conjugative transfer system pilin acetylase TraX,5,5,1.0,,,,,,740,746,744
group_3541,pspB,envelope stress response membrane protein PspB,5,5,1.0,,,,,,224,224,224
DSP01_22050,,hypothetical protein,5,5,1.0,,,,,,236,236,236
C2K32_22335,,hypothetical protein,5,5,1.0,,,,,,283,458,362
GP118_004564,,hypothetical protein,5,5,1.0,,,,,,137,200,187
NEV27_004475,,hypothetical protein,5,5,1.0,,,,,,167,245,215
LRU76_004979,,ATP-dependent DNA helicase RecG,5,5,1.0,,,,,,171,688,494
HBY45_004925,,HAMP domain-containing protein,5,5,1.0,,,,,,404,1265,860
group_3682,uxaC,glucuronate isomerase,5,5,1.0,,,,,,623,1412,1254
FGO80_22720,,SOS response-associated peptidase,5,5,1.0,,,,,,626,626,626
D8U07_24725,,ABC transporter ATP-binding protein,5,5,1.0,,,,,,407,1736,1470
GSC72_004745,,YlcG family protein,5,5,1.0,,,,,,146,146,146
DO334_24745,,XRE family transcriptional regulator,5,5,1.0,,,,,,224,224,224
GFN43_24640,,plasmid SOS inhibition protein A,5,5,1.0,,,,,,533,719,681
